******************** DIAGRAMAS DE ESFORCOS RESISTENTES ********************
PONTOS DO DIAGRAMA Nr Mrx

   PONTO          Nr               Mrx
  165      3.040794E+02      2.428713E+04
  166      3.009836E+02      2.425220E+04
  167      2.979502E+02      2.421755E+04
  168      2.949774E+02      2.418319E+04
  169      2.920632E+02      2.414912E+04
  170      2.892061E+02      2.411534E+04
  171      2.864044E+02      2.408185E+04
  172      2.836564E+02      2.404866E+04
  173      2.809606E+02      2.401578E+04
  174      2.783156E+02      2.398319E+04
  175      2.757200E+02      2.395089E+04
  176      2.731723E+02      2.391890E+04
  177      2.706712E+02      2.388721E+04
  178      2.682156E+02      2.385582E+04
  179      2.658041E+02      2.382472E+04
  180      2.634355E+02      2.379393E+04
  181      2.611089E+02      2.376343E+04
  182      2.588229E+02      2.373322E+04
  183      2.565766E+02      2.370331E+04
  184      2.543690E+02      2.367369E+04
  185      2.521991E+02      2.364436E+04
  186      2.500658E+02      2.361532E+04
  187      2.479684E+02      2.358656E+04
  188      2.459058E+02      2.355809E+04
  189      2.438773E+02      2.352990E+04
  190      2.418819E+02      2.350199E+04
  191      2.399190E+02      2.347436E+04
  192      2.379876E+02      2.344700E+04
  193      2.360871E+02      2.341991E+04
  194      2.342167E+02      2.339309E+04
  195      2.323757E+02      2.336654E+04
  196      2.305634E+02      2.334025E+04
  197      2.287792E+02      2.331422E+04
  198      2.270224E+02      2.328846E+04
  199      2.252924E+02      2.326294E+04
  200      2.235885E+02      2.323769E+04
  201      2.150860E+02      2.310678E+04
  202      2.064100E+02      2.296991E+04
  203      1.975551E+02      2.282678E+04
  204      1.804366E+02      2.249936E+04
  205      1.463917E+02      2.179686E+04
  206      1.121504E+02      2.108715E+04
  207      7.770641E+01      2.036986E+04
  208      4.305310E+01      1.964461E+04
  209      8.183575E+00      1.891100E+04
  210     -2.690938E+01      1.816861E+04
  211     -6.223329E+01      1.741696E+04
  212     -9.778313E+01      1.665592E+04
  213     -1.334805E+02      1.588716E+04
  214     -1.692178E+02      1.511314E+04
  215     -2.048821E+02      1.433647E+04
  216     -2.403552E+02      1.355998E+04
  217     -2.755134E+02      1.278668E+04
  218     -3.102267E+02      1.201981E+04
  219     -3.443587E+02      1.126284E+04
  220     -3.777663E+02      1.051950E+04
  221     -4.102992E+02      9.793812E+03
  222     -4.417992E+02      9.090079E+03
  223     -4.721000E+02      8.412942E+03
  224     -5.010265E+02      7.767402E+03
  225     -5.283944E+02      7.158843E+03
  226     -5.540145E+02      6.592942E+03
  227     -5.788297E+02      6.047006E+03
  228     -6.036450E+02      5.501071E+03
